Day,Amount
0,3500000
1,-12600
2,-267360
3,-2111875
4,-922642
5,8238
6,14439
7,-141603
8,28471
9,28838
10,406185
11,110856
12,-405162
13,11416
14,77152
15,93555
16,-236565
17,212284
18,137502
19,46031
20,-134515
21,123628
22,-386516
23,133930
24,510354
25,147976
26,-567587
27,-190790
28,898124
29,217403
30,-143109
31,-612262
32,115622
33,114059
34,786160
35,384910
36,-617102
37,298645
38,1096564
39,1990402
40,452452
41,-282552
42,93990
43,282207
44,-1128060
45,-151041
46,317147
47,431260
48,-23142
49,325683
50,818462
51,#REF!
52,#REF!
53,#REF!
54,#REF!
55,#REF!
56,#REF!
57,#REF!
58,#REF!
59,#REF!
60,#REF!
61,#REF!
62,#REF!
63,#REF!
64,#REF!
65,#REF!
66,#REF!
67,#REF!
68,#REF!
69,#REF!
70,#REF!
71,#REF!
72,#REF!
73,#REF!
74,#REF!
75,#REF!
76,#REF!
77,#REF!
78,#REF!
79,#REF!
80,#REF!
81,#REF!
82,#REF!
83,#REF!
84,#REF!
85,#REF!
86,#REF!
87,#REF!
88,#REF!
89,#REF!
90,#REF!
